city_id,Ename,Estate_name,state_name,Ecountry_name,country_name,Econtinent_name,continent_name,area,population,population_acc_to_year,is_country_capital,is_state_capital,Eother_names,other_names,EGWCR_ranking,GWCR_ranking,is_largest,is_populous,Ecity_type,city_type,name
22,Las Vegas,Nevada,నెవాడా,United States,యునైటెడ్ స్టేట్స్ ,North America,ఉత్తర అమెరికా,352,"2,699,000",2020,0,1,"Gambling Capital of the World, Entertainment Capital of the World, Sun City, City of Los Wages","లాస్ వేతనాలు ప్రపంచ రాజధాని, ప్రపంచ రాజధాని సన్ సిటీ, సిటీ జూదం",0,0,0,75,metropolitan,మహానగరం ,లాస్ వేగాస్
23,Doha,0,0,Qatar,ఖతార్,Asia,ఆసియా,132,"641,000",2020,1,0,0,0,Beta +,బీటా +,0,1,metropolitan,మహానగరం ,దోహా
24,Seoul,0,0,south korea,దక్షిణ కొరియా,Asia,ఆసియా,605.2,"9,963,000",2020,1,0,0,0,Alpha -,ఆల్ఫా -,1,1,0,0,సియోల్
25,Sydney,New South Wales,న్యూ సౌత్ వేల్స్,Australia,ఆస్ట్రేలియా,Oceania,ఓషియానియా,"12,368","4,926,000",2020,0,1,The Emerland City,ఎమరాల్డ్ సిటీ,Alpha,ఆల్ఫా,0,1,0,0,సిడ్నీ
26,Beijing,0,0,People's Republic of China,చైనా పీపుల్స్ రిపబ్లిక్,Asia,ఆసియా,"16,410.50","21,893,000",2020,1,0,0,0,Alpha +,ఆల్ఫా +,13,1,metropolitan,మహానగరం ,బీజింగ్
27,Miami,Florida,ఫ్లోరిడా,United States,యునైటెడ్ స్టేట్స్ ,North America,ఉత్తర అమెరికా,143.1,"6,122,000",2020,0,1,Magic city,మ్యాజిక్ సిటీ,Beta +,బీటా +,17,40,Coastal,తీరప్రాంతం,మయామి
28,Munich,Bavaria,బవేరియా,Germany,జర్మనీ,Europe,యూరోప్,310.7,"1,558,395",2020,0,1,Heimliche Hauptstadt,హీమ్లిచే హాప్ట్‌స్టాడ్ట్,Alpha -,ఆల్ఫా -,3,3,Metropolitan,మహానగరం ,మ్యూనిచ్
29,Milan,Milano Province,మిలానో ప్రావిన్స్,Italy,ఇటలీ,Europe,యూరోప్,181.8,"3,140,000",2020,0,1,Drinkable city,డ్రింకబుల్ సిటీ,Alpha,ఆల్ఫా,4,2,Metropolitan,మహానగరం ,మిలాన్
30,San Diego,0,0,California,కాలిఫోర్నియా,North America,ఉత్తర అమెరికా,964.5,"3,251,000",2020,0,0,America's Finest City,అమెరికాస్ ఫైనెస్ట్ సిటీ,Beta -,బీటా -,5,2,Coastal,తీరప్రాంతం,శాన్ డియాగో
31,Bangkok,0,0,Thailand,థాయిలాండ్,Asia,ఆసియా,1568.7,"10,539,000",2020,1,0,City of angels,సిటీ ఆఫ్ ఏంజిల్స్,Alpha -,ఆల్ఫా -,12,1,0,0,బ్యాంకాక్
32,Vienna,federal,సమాఖ్య,Austria,ఆస్ట్రియా,Europe,యూరోప్,414.6,"1,930,000",2020,1,0,city of dreames,సిటీ ఆఫ్ డ్రీంస్,Alpha -,ఆల్ఫా -,6,1,0,0,వియన్నా
33,Dublin,0,0,Ireland,ఐర్లాండ్,Europe,యూరోప్,117.8,"1,228,000",2020,0,1,Fair city,ఫేర్ సిటీ,Alpha -,ఆల్ఫా -,1,1,0,0,డబ్లిన్
34,Vancouver,0,0,Canada,కెనడా,North America,ఉత్తర అమెరికా,115,"2,581,000",2020,0,1,Rain city,రైన్ సిటి,Beta +,బీటా +,0,3,0,0,వాంకోవర్
35,Boston,Massachusetts,మసాచుసెట్స్,United States,యునైటెడ్ స్టేట్స్ ,North America,ఉత్తర అమెరికా,232.1,"4,309,000",2020,1,1,"Cradle of Liberty, Athens of America","లిబర్టీ ఆఫ్ క్వాటర్ బ్యాక్స్, అమెరికా ఏథెన్స్",Alpha -,ఆల్ఫా -,61,21,0,0,బోస్టన్
36,Zurich,0,0,Switzerland,స్విట్జర్లాండ్,Europe,యూరోప్,87.88,"1,395,000",2020,1,0,Little big city,లిటిల్ బిగ్ సిటీ,Alpha -,ఆల్ఫా -,0,1,0,0,జ్యూరిచ్ 
37,Melbourne,Victoria,విక్టోరియా,Australia,ఆస్ట్రేలియా,Oceania,ఓషియానియా,9992,"5,159,211",2020,1,0,Garden city,గార్డెన్ సిటీ,Alpha -,ఆల్ఫా -,0,2,0,0,మెల్బోర్న్
38,Budapest,0,0,Hungary,హంగేరి,Europe,యూరోప్,525.2,"1,768,000",2020,1,0,"Heart of wurope,queen of the Danube","హార్ట్ ఆఫ్ వూరోప్, క్వీన్ ఆఫ్ దనుబె",Beta +,బీటా +,9,1,Metropolitan,మహానగరం ,బుడాపెస్ట్
39,Houston,Texas,టెక్సాస్,United States,యునైటెడ్ స్టేట్స్ ,North America,ఉత్తర అమెరికా,1733,"6,371,000",2020,1,0,"Space city, Bayou city","స్పేస్ సిటి, బయౌ సిటి",Beta +,బీటా +,94,4,0,0,హ్యూస్టన్
40,Seattle,Washington,వాషింగ్టన్,United States,యునైటెడ్ స్టేట్స్ ,North America,ఉత్తర అమెరికా,217,"3,433,000",2020,1,0,Emerald city,ఎమ్రల్ద్ సిటి ,Beta,బీటా,15,18,coastal,తీరప్రాంతం,సీటెల్
41,Montreal,Quebec Province,క్యుబెక్ ప్రావిన్స్,Canada,కెనడా,North-America,ఉత్తర అమెరికా,431.50,"3,625,000",2020,0,0,"Ville de Montréal (City of Montreal), The City of a Hundred steeples, MTL,Quebec's Metropolis, La Metropole ","విల్లే డె మాంట్రియల్ (మాంట్రియల్ సిటీ), ద సిటీ ఆఫ్ హండ్రెడ్ స్టీపెల్స్, ఎం.టి.ఎల్, క్యుబెక్ మెట్రోపోలిస్, లా మెట్రోపోల్",Alpha -,ఆల్ఫా -,69,2,metropolitan,మహానగరం ,మాంట్రియల్
42,Hong Kong,0,0,China,చైనా,Asia,ఆసియా,"1,110.18","7,347,000",2020,0,0,"Fragrant Harbour, The Pearl of Orient","ఫ్రాగ్రెంట్ హార్బర్, ద పెర్ల్ ఆఫ్ ద ఓరియంట్",Alpha +,ఆల్ఫా +,0,9,metropolitan,మహానగరం ,హాంగ్ కాంగ్
43,Frankfurt,Hesse,హెస్సే,Germany,జర్మనీ,Europe,యూరోప్,248.31,"2,693,115",2020,0,0,"Mainhattan, Bankfurt, Bankenstadt, Big Ebbel","మెయిన్హట్టన్, బ్యాంక్‌ఫర్ట్, బ్యాంకెన్‌స్టాడ్ట్, బిగ్ ఎబెల్",Alpha,ఆల్ఫా,11,5,metropolitan,మహానగరం ,ఫ్రాంక్ఫర్ట్
44,São Paulo,Sao Paulo,సావో పాలో,Brazil,బ్రెజిల్,South America,దక్షిణ అమెరికా,1521.11,"22,046,000",2020,0,1,"Terra da Garoa (Land of Drizzle), Sampa, Pauliceia","టెర్రా డా గారోవా (ల్యాండ్ ఆఫ్ డ్రిజ్లే), సంపా, పాలిసియా",Alpha,ఆల్ఫా,12,1,metropolitan,మహానగరం ,సావో పాలో
45,Tel Aviv,0,0,Israel,ఇజ్రాయెల్,Asia,ఆసియా,52,"2,654,000",2020,0,0,"The first Hebrew city, The White City
Non-Stop City,The Bubble, TLV
The Big Orange","ద ఫెర్స్ట్ హిబ్రూ సిటీ, ది వైట్ సిటీ, నాన్ స్టాప్ సిటీ, ద బబుల్, టి.ఎల్.వి, ద బిగ్ ఆరేంజ్",Beta +,బీటా +,7,2,metropolitan,మహానగరం ,సావో పాలో
46,Copenhagen,0,0,Denmark,డెన్మార్క్,Europe,యూరోప్,179.8,"1,928,612",2020,1,0,"The city of fairy tales, The City of Spires","ద సిటీ ఆఫ్ ఫెరీ టేల్స్, ద సిటీ ఆఫ్ స్పైర్స్",Beta +,బీటా +,1,1,metropolitan,మహానగరం ,కోపెన్ హెగెన్
47,Calgary,Alberta Province,అల్బెర్టా ప్రావిన్స్,Canada,కెనడా,North-America,ఉత్తర అమెరికా,825.3,"1,326,000",2020,0,0,"C-Town, Cowtown, Heart of The New West, 
Mohkínstsis,The Stampede City
Sandstone City
","సి-టౌన్, కౌటౌన్, హార్ట్ ఆఫ్ ది న్యూ వెస్ట్",Beta -,బీటా -,23,4,metropolitan,మహానగరం ,కాల్గరీ
48,Orlando,Florida,ఫ్లోరిడా,United States,యునైటెడ్ స్టేట్స్ ,North-America,ఉత్తర అమెరికా,294.61,"2,572,962",2020,0,0,"The City Beautiful, O-Town, Theme Park Capital of the World","ద సిటీ బ్యూటిఫుల్, ఓ-టౌన్, థీం పార్క్ కాపిటల్ ఆఫ్ ద వర్ల్డ్",Gamma+,గామా +,107,71,metropolitan,మహానగరం ,ఓర్లాండో
49,Atlanta,Georgia,జార్జియా,United States,యునైటెడ్ స్టేట్స్ ,North-America,ఉత్తర అమెరికా,354.22,"5,950,828",2020,0,1,"The City in a Forest, ATL, The A, Hotlanta, The Gate City, Hollywood of the South","ద సిటీ ఇన్ ఎ ఫారెస్ట్, ఎ.టి.ఎల్, ద ఎ, హాట్లాంట, గేట్ సిటీ, హాలీవుడ్ ఆఫ్ ద సౌత్",Beta +,బీటా +,71,37,metropolitan,మహానగరం ,అట్లాంటా
50,Dallas,Texas,టెక్సాస్,United States,యునైటెడ్ స్టేట్స్ ,North-America,ఉత్తర అమెరికా,993.1,"7,399,662",2020,0,0,"Big D, D-Town, Triple D","బిగ్ డి, డి-టౌన్, ట్రిపుల్ డి",Beta +,బీటా +,18,9,metropolitan,మహానగరం ,డల్లాస్
51,Hamburg,Hamburg,హాంబర్గ్,Germany,జర్మనీ,Europe,యూరోప్,755.22,"3,309,215",2020,0,1,Tor zur Welt,టోర్ జుర్ వెల్ట్,Beta +,బీటా +,2,2,metropolitan,మహానగరం ,హాంబర్గ్
52,Osaka,Honshu,హోన్షు,Japan,జపాన్,Asia,ఆసియా,225.21,"17,150,000",2020,0,1,"Tenka no Daidokoro
","""టెంకా నో డైడోకోరో",Beta -,బీటా -,2,3,metropolitan,మహానగరం ,ఒసాకా
53,Lisbon,0,0,Portugal,పోర్చుగల్,Europe,యూరోప్,100.05,"2,989,427",2020,1,0,"The City of Lights, White City","ది సిటీ ఆఫ్ లైట్స్, వైట్ సిటీ",Alpha -,ఆల్ఫా -,1,1,metropolitan,మహానగరం ,లిస్బన్
54,Austin,Texas,టెక్సాస్,United States,యునైటెడ్ స్టేట్స్ ,North-America,ఉత్తర అమెరికా,845.66,"2,168,316",2020,0,1,"Bat City,Hippie Haven,Live Music Capital of the World, Silicon Hills, ATX, City of the Violet Crown","బాట్ సిటీ, హిప్పీ హెవెన్, లైవ్ మ్యూజిక్ కాపిటల్ ఆఫ్ ది వరల్డ్, సిలికాన్ హిల్స్, ఎటిఎక్స్, సిటీ ఆఫ్ వైలెట్ క్రౌన్",Beta -,బీటా -,26,11,metropolitan,మహానగరం ,ఆస్టిన్
55,Phoenix,Arizona,"
అరిజోనా",United States,యునైటెడ్ స్టేట్స్ ,North-America,ఉత్తర అమెరికా,1344.5,"4,857,962",2020,0,1,The Valley of the Sun,ద వాల్లి ఆఫ్ ద సన్,Gamma+,గామా +,10,5,metropolitan,మహానగరం ,ఫీనిక్స్
56,Naples,0,0,Italy,ఇటలీ,Europe,యూరోప్,119.02,"3,406,777",2020,0,0,"City of the Sun, Partenope","సిటీ ఆఫ్ ది సన్, పార్టెనోప్",0,0,3,2,metropolitan,మహానగరం ,నేపుల్స్
57,Oslo,0,0,Norway,నార్వే,Europe,యూరోప్,480.75,"1,588,457",2020,1,0,The Tiger City,టైగర్ సిటీ,Beta,బీటా,1,1,metropolitan,మహానగరం ,ఓస్లో
58,Denver,Colarado,కొలరాడో,United States,యునైటెడ్ స్టేట్స్ ,North-America,ఉత్తర అమెరికా,401.24,"2,932,415",2020,0,1,"The Mile High City,Queen City of the Plains,Wall Street of the West","మైల్ హై సిటీ, ప్లైన్స్ క్వీన్ సిటీ, వెస్ట్ యొక్క వాల్ స్ట్రీట్",Beta,బీటా,55,19,metropolitan,మహానగరం ,డెన్వర్
59,Stockholm,0,0,Sweden,స్వీడన్,Europe,యూరోప్,188,"2,308,143",2020,1,0,"Beauty on the Water, Eken, the Venice of the North, the Venice of Scandinavia","ద సిటీ ఆఫ్ వాటర్, ఎకెన్, ద వెనిస్ ఆఫ్ ద నార్త్, ద వెనిస్ ఆఫ్ స్కాండినేవియా ",Alpha -,ఆల్ఫా -,1,1,metropolitan,మహానగరం ,స్టాక్‌హోమ్
60,Philadelphia,Pennsylvania,పెన్సిల్వేనియా,United States,యునైటెడ్ స్టేట్స్ ,North-America,ఉత్తర అమెరికా,369.59,"6,096,372",2020,0,0,"The City of Brotherly Love, The Athens of America, The Cradle of Liberty, The Quaker City, The Workshop of the World","ద సిటీ ఆఫ్ బ్రదర్లి లవ్, అమెరికా ఏథెన్స్, ద క్రడిల్ ఆఫ్ లిబర్టీ, క్వేకర్ సిటీ, ద వర్క్షాప్ ఆఫ్ ద వరల్డ్",Beta,బీటా,69,6,metropolitan,మహానగరం ,ఫిలడెల్ఫియా
61,Riyadh,0,0,Saudi Arabia,సౌదీ అరేబియా,Asia,ఆసియా,1973,6881000,2020,1,0,0,0,alpha -,ఆల్ఫా -,1,1,Muncipality,మున్సిపాలిటీ,రియాద్
62,Delhi,New Delhi,న్యూఢిల్లీ,India,భారతదేశం,Asia,ఆసియా,1484,29617000,2020,1,1,City of Rallies,సిటి ఆఫ్ రాల్లీస్,alpha -,ఆల్ఫా -,1,2,metropolitan,మహానగరం ,ఢిల్లీ
63,Buenos Aires,Buenos Aires Province,బ్యూనస్ ఎయిర్స్ ప్రావిన్స్,Argentina,అర్జెంటీనా,South America,దక్షిణ అమెరికా,203,16157000,2020,1,0,"Autonomous City of Buenos Aires,Queen of the Plata, Paris of South America","ఆటొనమాస్ సిటి ఆఫ్ భుఎనొస్ ఆఇరెస్, క్యుఈన్ ఒఫ్ థె ప్లాట, పేరిస్ ఒఫ్ సౌత్ ఆమెరిక",alpha -,ఆల్ఫా -,1,1,0,0,బ్యూనస్ ఎయిర్స్
64,San Jose,California,కాలిఫోర్నియా,united states,యునైటెడ్ స్టేట్స్ ,North America,ఉత్తర అమెరికా,469.7,1945000,2020,0,0,Capital of Silicon Valley,కాపిటల్ సిలికోన్ వాల్లీ,gamma +,గామా +,48,1,Metropolitan,మహానగరం ,శాన్ జోస్
65,Brussels,Walloon Brabant,వాలూన్ బ్రబంట్,Belgium,బెల్జియం,Europe,యూరోప్,162.4,2667824,2020,1,0,"Capital of Europe, Comic City","క్యపిటల్ ఒఫ్ యురోప్ , కొమిక్ సిటి",alpha,ఆల్ఫా,1,1,Metropolitan,మహానగరం ,బ్రస్సెల్స్
66,Portland,Oregon,ఒరెగాన్,United States,యునైటెడ్ స్టేట్స్ ,North America,ఉత్తర అమెరికా,375.8,2478996,2020,0,0,The city of Roses,ద సిటి ఆఫ్ రోసెస్,0,0,70,26,Metropolitan,మహానగరం ,పోర్ట్ ల్యాండ్
67,Ottawa,Ontario,అంటారియో,Canada,కెనడా,North America,ఉత్తర అమెరికా,2790,1036000,2020,1,1,Silicon Valley North,సిలికాన్ వ్యాలీ నొర్త్,gamma,గామా,8,4,Metropolitan,మహానగరం ,ఒట్టావా
68,Helsinki,0,0,Finland,ఫిన్లాండ్,Europe,యూరోప్,213.8,1490142,2020,1,0,"Stadi, Hesa","స్టడి,హెస",beta,బేటా,1,1,Metropolitan,మహానగరం ,హెల్సింకి
69,Valencia,Valencia Province,వాలెన్సియా ప్రావిన్స్,Spain,స్పెయిన్,Europe,యూరోప్,134.6,1733606,2020,0,1,the City of the Flowers,ద సిటి ఆఫ్ ద ఫ్లవర్స్,gamma,గామా,26,3,Metropolitan,మహానగరం ,వాలెన్సియా
70,Brisbane,Queensland,క్వీన్స్లాండ్,Australia,ఆస్ట్రేలియా,Australia,ఆస్ట్రేలియా,15842,2150000,2020,0,1,"Brissy ,River City","బ్రిస్సీ, రివర్ సిటీ",beta +,బీటా +,1,3,Metropolitan,మహానగరం ,బ్రిస్బేన్
71,Warsaw,0,0,Poland,పోలాండ్,Europe,యూరోప్,517.2,3100844,2020,1,0,"Paris of the north,Phoenix City","ఫరిస్ ఆఫ్ ద నొర్త్, ఫోనిక్స్ సిటి",alpha -,ఆల్ఫా -,1,1,Metropoltan,మహానగరం ,వార్సా
72,Minneapolis,Minnesota,మిన్నెసోట,United States,యునైటెడ్ స్టేట్స్ ,North America,ఉత్తర అమెరికా,151,3629190,2020,0,0,"City of Flour and Sawdust, City of Lakes,Mill City,The Mini Apple,Murderapolis,The Twin Cities","సిటి ఆఫ్ ఫ్లౌర్ అంద్ సవ్దస్త్, సిటి ఆఫ్ లేక్స్, మిల్ల్ సిటి, ద మిని అపెల్, ముర్దెరపొలిస్,ద ట్విన్ సిటీస్",beta -,బీటా -,0,46,Metropolitan,మహానగరం ,మిన్నియాపాలిస్
73,Shanghai,shi province,షి ప్రావిన్స్,china,చైనా,Asia,ఆసియా,6340.5,22120000,2020,0,1,"Pearl of the Orient , Paris of the East,Song Hu, City of Shēn","ఓరియంట్, తూర్పు పారిస్, సాంగ్ హు, షెన్ నగరం యొక్క పెర్ల్",alpha +,ఆల్ఫా +,39,1,metropolitan,మహానగరం ,షాంఘై
74,Lyon,Rhône département,"
రోన్ డిపార్ట్మెంట్",France,ఫ్రాన్స్,Europe,యూరోప్,47.87,2084490,2020,0,1,the city of light,సిటీ ఆఫ్ లైట్,beta -,బీటా -,26,3,Metropolis,మహానగరం ,లియోన్
75,Adelaide,South Australia,దక్షిణ ఆస్ట్రేలియా,Australia,ఆస్ట్రేలియా,Australia,ఆస్ట్రేలియా,3260,1205000,2020,0,1,"Twenty-Minute City, City of Churches","ట్వంటీ మినట్ సిటీ, సిటీ ఆఫ్ చర్చెస్",gamma +,గామా +,5,5,Metropolitan,మహానగరం ,అడిలైడ్
76,Edmonton,Alberta-province,అల్బెర్టా-ప్రావిన్స్,Canada,కెనడా,North America,ఉత్తర అమెరికా,684.4,1150000,2020,0,1,"The City of Champions, River City, Redmonton, Gateway to the North, Canada's Festival City, River City","ది సిటీ ఆఫ్ ఛాంపియన్స్, రివర్ సిటీ, రెడ్‌మొంటన్, గేట్‌వే టు ది నార్త్, కెనడా యొక్క ఫెస్టివల్ సిటీ, రివర్ సిటీ",gamma -,గామా -,2,2,Metropolitan,మహానగరం ,ఎడ్మంటన్
77,Marseille,Bouches-du-Rhône,బౌచెస్-డు-రోన్,France,ఫ్రాన్స్,Europe,యూరోప్,241,1330000,2020,0,1,the phocean city,ద ఫొస్యన్ సిటీ,0,0,2,2,Metropolitan,మహానగరం ,మార్సెల్
78,Muscat,Sultanate of Oman,ఒమన్ సుల్తానేట్,Oman,ఒమన్,Asia,ఆసియా,3500,"1,205,000",2020,1,1,0,0,beta -,బీటా -,0,1,Metropolis,మహానగరం ,మస్కట్
79,Athens,attica,అటికా,Greece,గ్రీస్,Europe,యూరోప్,38.96,3828434,2020,1,0,The city of the violet crown,ద సిటీ ఆఫ్ వైలెట్ క్రౌన్,beta ,బేటా,28,1,Metropolis,మహానగరం ,ఏథెన్స్
80,Stuttgart,Baden-Württemberg Land,బాడెన్-వుర్టెంబెర్గ్ భూమి ,Germany,జర్మనీ,Europe,యూరోప్,207.4,2778591,2020,0,1,Swabian metropolis,స్వాబియన్ మెట్రొపోలిస్,beta -,బీటా -,18,6,Metropolitan,మహానగరం ,స్టట్గార్ట్
81,Rio de Janeiro,state of Rio De Janiro,రియో డి జానిరో రాష్ట్రం,Brazil,బ్రెజిల్,South America,దక్షిణ అమెరికా,"4,539.80",12272000,2020,0,1,"Marvellous City, Marvellous Princess, City of Brazilians","మార్వెలస్ సిటి , మార్వెలస్ ప్రిన్సెస్, ద సిటీ ఆఫ్ బ్రజీలియన్స్",beta -,బీటా -,0,2,Municipality,మున్సిపాలిటీ,రియో డి జనీరో
82,Baltimore,Maryland,మేరీల్యాండ్,U.S.A,U.S.A,North America,ఉత్తర అమెరికా,238.41,2802789,2020,0,0,"Charm City,Mobtown","చార్మ్ సిటీ, మోబ్టౌన్",gamma+,గామా +,21,30,0,0,బాల్టిమోర్
83,Auckland,North Island,ఉత్తర ద్వీపం,New Zealand,న్యూజిలాండ్,Oceania,ఓషియానియా,607.1,1333000,2020,0,1,"City of Sails,Queen City","సిటీ ఆఫ్ సెయిల్స్, క్వీన్ సిటీ",beta+,బీటా +,1,1,Metropolitan,మహానగరం ,ఆక్లాండ్
84,Cologne,North Rhine-Westphalia,నార్త్ రైన్-వెస్ట్‌ఫాలియా,Germany,జర్మనీ,Europe,యూరోప్,405.15,1994524,2020,0,0,0,0,gamma+,గామా +,0,4,Metropolitan area,మహానగరం ,కొలోన్
85,New Orleans,Louisiana,లూసియానా,U.S.A,U.S.A,North America,ఉత్తర అమెరికా,906.1,1270399,2020,0,0,"The Crescent City, The Big Easy, The City That Care Forgot, NOLA, The City of Yes,Hollywood South","ద క్రిసెంట్ సిటీ, ద బిగ్ ఈజి, ద సిటీ దట్ కేర్ ఫర్గాట్, నొలా, ద సిటీ ఆఫ్ యెస్, హాలీవుడ్ సౌత్",0,0,0,45,0,0,న్యూ ఓర్లీన్స్
86,Kuwait City,Kuwait City,కువైట్ నగరం ,Kuwait,కువైట్,Asia,ఆసియా,200,4022000,2020,1,0, Ad-Dirah,అద్-దిరాహ్,beta -,బీటా -,0,1,Metropolitan,మహానగరం ,కువైట్ నగరం
87,Kyiv,North Ukraine,ఉత్తర ఉక్రెయిన్,Ukraine,ఉక్రెయిన్,Europe,యూరోప్,839,2851000,2020,1,0,Mankerman,మంకర్మన్,beta,బేటా,1,1,0,0,కైవ్
88,Hanover,Lower Saxony,దిగువ సాక్సోనీ,Germany,జర్మనీ,Europe,యూరోప్,204.01,1310558,2020,0,1,Hannover,హన్నోవర్,0,0,0,13,Metropolitan,మహానగరం ,హానోవర్
89,Perth,Western Austrailia,పశ్చిమ ఆస్ట్రేలియా,Austrailia,ఆస్ట్రేలియా,Austrailia,ఆస్ట్రేలియా,"6,417.90",1978000,2020,0,1,0,0,beta,బేటా,4,4,Metropolitan,మహానగరం ,పెర్త్
